Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-11-02 09-AM,BTCUSD,6345.89,6345.89,6333.94,6339.33,355.78,2256515.26
2018-11-02 08-AM,BTCUSD,6349.89,6350,6345.88,6345.89,57.42,364607.11
2018-11-02 07-AM,BTCUSD,6352.14,6353.88,6345.84,6349.89,83.57,530688.25
2018-11-02 06-AM,BTCUSD,6356.34,6356.35,6350.17,6352.14,60.18,382417.0
2018-11-02 05-AM,BTCUSD,6355.01,6356.94,6355,6356.34,68.46,435092.62
2018-11-02 04-AM,BTCUSD,6358.5,6365.7,6355,6355.01,132.74,844333.29
2018-11-02 03-AM,BTCUSD,6357.38,6359.62,6354,6358.5,161.12,1024181.94
2018-11-02 02-AM,BTCUSD,6369.01,6369.99,6346.77,6357.38,317.87,2021541.43
2018-11-02 01-AM,BTCUSD,6378.77,6378.77,6366.48,6369.01,279.82,1782592.14
2018-11-02 12-AM,BTCUSD,6343.99,6378.77,6343.99,6378.77,237.98,1512337.89
2018-11-01 11-PM,BTCUSD,6339.75,6349.99,6337.97,6343.99,302.36,1917822.81
2018-11-01 10-PM,BTCUSD,6346.01,6349.89,6335.19,6339.75,167.66,1063180.45
2018-11-01 09-PM,BTCUSD,6337.23,6360,6330.06,6346.01,248.38,1574735.5
2018-11-01 08-PM,BTCUSD,6319.98,6337.37,6318.26,6337.23,341.01,2157087.57
2018-11-01 07-PM,BTCUSD,6313.96,6327,6313.71,6319.98,340.0,2148545.96
2018-11-01 06-PM,BTCUSD,6309.99,6315.18,6309.98,6313.96,227.06,1433465.92
2018-11-01 05-PM,BTCUSD,6305,6309.99,6304.24,6309.99,204.19,1287906.1
2018-11-01 04-PM,BTCUSD,6305.26,6305.64,6300.89,6305,186.35,1174713.69
2018-11-01 03-PM,BTCUSD,6307.51,6309,6304.81,6305.26,150.0,945982.82
2018-11-01 02-PM,BTCUSD,6304.01,6307.72,6303.25,6307.51,243.28,1533938.25
2018-11-01 01-PM,BTCUSD,6307.5,6307.51,6304,6304.01,385.72,2432445.08
2018-11-01 12-PM,BTCUSD,6308.92,6308.92,6307.5,6307.5,153.25,966679.47
2018-11-01 11-AM,BTCUSD,6308.22,6308.92,6307.9,6308.92,91.78,578997.26
2018-11-01 10-AM,BTCUSD,6307.32,6308.22,6307.31,6308.22,74.57,470360.13
2018-11-01 09-AM,BTCUSD,6301.93,6307.32,6301.93,6307.32,75.55,476434.73
2018-11-01 08-AM,BTCUSD,6307.32,6307.32,6301.36,6301.93,302.1,1904512.51
