,Date,Symbol,Open,High,Low,Close,Volume From,Volume To
0,2018-11-11 23:00:00,BTCUSD,6312.56,6359.95,6311.0,6357.6,254.46,1610788.34
1,2018-11-11 22:00:00,BTCUSD,6316.22,6317.33,6310.0,6312.56,97.05,612751.28
2,2018-11-11 21:00:00,BTCUSD,6328.61,6328.62,6315.34,6316.22,96.2,608354.5
3,2018-11-11 20:00:00,BTCUSD,6323.51,6329.99,6323.5,6328.61,111.24,703925.79
4,2018-11-11 19:00:00,BTCUSD,6320.0,6330.0,6318.18,6323.51,98.73,624524.09
5,2018-11-11 18:00:00,BTCUSD,6315.0,6320.0,6310.17,6320.0,149.0,941212.43
6,2018-11-11 17:00:00,BTCUSD,6310.0,6320.0,6306.28,6315.0,118.26,746603.49
7,2018-11-11 16:00:00,BTCUSD,6308.99,6322.18,6296.5,6310.0,108.87,686814.09
8,2018-11-11 15:00:00,BTCUSD,6337.81,6339.39,6271.15,6308.99,353.48,2227959.43
9,2018-11-11 14:00:00,BTCUSD,6333.68,6339.39,6332.03,6337.81,50.06,317229.6
10,2018-11-11 13:00:00,BTCUSD,6343.25,6347.91,6329.64,6333.68,71.1,450717.58
11,2018-11-11 00:00:00,BTCUSD,6343.42,6344.88,6342.32,6343.25,27.29,173137.31
12,2018-11-11 11:00:00,BTCUSD,6348.17,6350.0,6343.0,6343.42,25.94,164651.61
13,2018-11-11 10:00:00,BTCUSD,6352.65,6355.0,6345.13,6348.17,41.24,261850.55
14,2018-11-11 09:00:00,BTCUSD,6358.34,6358.34,6352.0,6352.65,30.33,192773.46
15,2018-11-11 08:00:00,BTCUSD,6358.88,6359.99,6357.16,6358.34,42.23,268567.43
16,2018-11-11 07:00:00,BTCUSD,6356.28,6358.88,6355.64,6358.88,44.99,286020.09
17,2018-11-11 06:00:00,BTCUSD,6350.04,6357.33,6350.03,6356.28,79.66,506193.67
18,2018-11-11 05:00:00,BTCUSD,6353.32,6353.53,6347.57,6350.04,83.57,530796.83
19,2018-11-11 04:00:00,BTCUSD,6351.65,6354.75,6349.13,6353.32,70.08,445243.59
20,2018-11-11 03:00:00,BTCUSD,6355.44,6357.41,6347.43,6351.65,82.75,525646.35
21,2018-11-11 02:00:00,BTCUSD,6360.0,6360.0,6354.93,6355.44,67.52,429224.18
22,2018-11-11 01:00:00,BTCUSD,6356.97,6360.0,6356.47,6360.0,71.95,457478.39
23,2018-11-11 12:00:00,BTCUSD,6347.42,6358.6,6347.41,6356.97,86.03,546668.63
24,2018-11-10 23:00:00,BTCUSD,6363.95,6365.0,6347.41,6347.42,135.21,859166.18
25,2018-11-10 22:00:00,BTCUSD,6361.26,6364.78,6360.43,6363.95,90.26,574255.97
26,2018-11-10 21:00:00,BTCUSD,6365.0,6367.27,6360.36,6361.26,122.3,778512.07
27,2018-11-10 20:00:00,BTCUSD,6358.39,6365.0,6358.39,6365.0,103.73,659817.03
28,2018-11-10 19:00:00,BTCUSD,6359.01,6360.98,6355.67,6358.39,165.94,1055052.73
29,2018-11-10 18:00:00,BTCUSD,6368.71,6368.71,6359.0,6359.01,103.74,660210.44
30,2018-11-10 17:00:00,BTCUSD,6369.99,6374.0,6368.0,6368.71,99.39,633240.22
31,2018-11-10 16:00:00,BTCUSD,6362.82,6369.99,6361.0,6369.99,107.97,687588.9
32,2018-11-10 15:00:00,BTCUSD,6364.46,6365.0,6360.68,6362.82,105.22,669493.77
33,2018-11-10 14:00:00,BTCUSD,6365.51,6365.51,6359.23,6364.46,123.83,787824.73
34,2018-11-10 13:00:00,BTCUSD,6362.98,6368.57,6362.97,6365.51,101.91,648854.9
35,2018-11-10 00:00:00,BTCUSD,6353.41,6363.0,6353.41,6362.98,120.03,763353.11
36,2018-11-10 11:00:00,BTCUSD,6341.5,6353.42,6341.5,6353.41,41.54,263729.5
37,2018-11-10 10:00:00,BTCUSD,6353.33,6353.33,6341.5,6341.5,48.15,305628.6
38,2018-11-10 09:00:00,BTCUSD,6355.56,6355.56,6353.32,6353.33,42.46,269790.58
39,2018-11-10 08:00:00,BTCUSD,6357.96,6359.02,6355.55,6355.56,30.05,191051.95
40,2018-11-10 07:00:00,BTCUSD,6353.55,6359.99,6353.55,6357.96,56.85,361371.42
41,2018-11-10 06:00:00,BTCUSD,6353.6,6359.99,6353.55,6353.55,108.71,690994.22
42,2018-11-10 05:00:00,BTCUSD,6350.0,6353.6,6348.11,6353.6,95.93,609201.11
43,2018-11-10 04:00:00,BTCUSD,6344.76,6350.0,6342.85,6350.0,177.02,1123701.99
44,2018-11-10 03:00:00,BTCUSD,6340.29,6344.76,6340.27,6344.76,58.45,370735.89
45,2018-11-10 02:00:00,BTCUSD,6336.01,6346.06,6336.0,6340.29,101.74,645412.5
46,2018-11-10 01:00:00,BTCUSD,6336.01,6336.01,6336.0,6336.01,78.81,499364.87
47,2018-11-10 12:00:00,BTCUSD,6334.89,6336.69,6327.46,6336.01,147.32,933292.32
48,2018-11-09 23:00:00,BTCUSD,6324.01,6334.98,6324.0,6334.89,162.17,1026479.71
49,2018-11-09 22:00:00,BTCUSD,6325.83,6325.83,6320.94,6324.01,220.47,1393946.59
50,2018-11-09 21:00:00,BTCUSD,6342.07,6342.07,6309.45,6325.83,312.95,1978769.96
51,2018-11-09 20:00:00,BTCUSD,6340.0,6342.07,6339.99,6342.07,132.84,842304.92
52,2018-11-09 19:00:00,BTCUSD,6334.49,6340.0,6331.0,6340.0,171.5,1086312.31
53,2018-11-09 18:00:00,BTCUSD,6347.19,6347.2,6333.01,6334.49,206.21,1308117.91
54,2018-11-09 17:00:00,BTCUSD,6349.98,6349.99,6346.99,6347.19,140.17,889932.22
55,2018-11-09 16:00:00,BTCUSD,6344.7,6349.99,6341.66,6349.98,138.08,876392.8
56,2018-11-09 15:00:00,BTCUSD,6341.32,6348.0,6334.99,6344.7,144.96,919331.05
57,2018-11-09 14:00:00,BTCUSD,6353.59,6354.03,6311.46,6341.32,298.4,1889215.19
58,2018-11-09 13:00:00,BTCUSD,6361.14,6361.14,6332.45,6353.59,214.01,1358758.46
59,2018-11-09 00:00:00,BTCUSD,6352.76,6361.2,6352.55,6361.14,85.52,543686.91
60,2018-11-09 11:00:00,BTCUSD,6354.99,6358.0,6352.76,6352.76,80.98,514592.05
61,2018-11-09 10:00:00,BTCUSD,6355.01,6357.32,6345.0,6354.99,166.59,1058614.73
62,2018-11-09 09:00:00,BTCUSD,6402.0,6402.01,6335.62,6355.01,646.16,4110147.82
63,2018-11-09 08:00:00,BTCUSD,6404.99,6405.35,6402.0,6402.0,61.75,395534.79
64,2018-11-09 07:00:00,BTCUSD,6402.47,6405.0,6402.46,6404.99,90.1,576983.08
65,2018-11-09 06:00:00,BTCUSD,6402.43,6402.47,6402.42,6402.47,88.98,569717.33
66,2018-11-09 05:00:00,BTCUSD,6402.43,6404.38,6402.42,6402.43,84.56,541398.79
67,2018-11-09 04:00:00,BTCUSD,6399.77,6405.35,6399.76,6402.43,214.51,1373554.5
68,2018-11-09 03:00:00,BTCUSD,6393.02,6399.8,6393.01,6399.77,190.47,1218462.53
69,2018-11-09 02:00:00,BTCUSD,6409.38,6409.99,6393.01,6393.02,222.66,1426082.31
70,2018-11-09 01:00:00,BTCUSD,6412.35,6414.51,6406.0,6409.38,127.62,817887.59
71,2018-11-09 12:00:00,BTCUSD,6406.25,6415.0,6406.24,6412.35,175.76,1126465.73
72,2018-11-08 23:00:00,BTCUSD,6410.03,6410.03,6402.0,6406.25,276.0,1768238.34
73,2018-11-08 22:00:00,BTCUSD,6419.01,6424.98,6410.02,6410.03,182.34,1170504.01
74,2018-11-08 21:00:00,BTCUSD,6419.06,6428.18,6419.0,6419.01,198.64,1275999.15
75,2018-11-08 20:00:00,BTCUSD,6416.0,6425.0,6415.99,6419.06,248.43,1595422.08
